Day,Daily_ICU_occupancy_Bulgaria
1,26
2,26
3,27
4,32
5,33
6,35
7,36
8,36
9,29
10,31
11,37
12,44
13,44
14,36
15,36
16,34
17,40
18,37
19,41
20,41
21,37
22,41
23,39
24,39
25,40
26,43
27,43
28,40
29,40
30,37
31,39
32,38
33,43
34,49
35,56
36,58
37,50
38,51
39,51
40,49
41,45
42,46
43,43
44,36
45,33
46,31
47,29
48,29
49,22
50,20
51,21
52,22
53,20
54,20
55,18
56,17
57,16
58,20
59,9
60,8
61,8
62,12
63,12
64,12
65,15
66,13
67,17
68,15
69,15
70,16
71,15
72,14
73,13
74,12
75,13
76,17
77,13
78,13
79,11
80,16
81,16
82,16
83,18
84,25
85,31
86,32
87,32
88,31
89,29
90,29
91,28
92,29
93,32
94,32
95,28
96,32
97,33
98,33
99,29
100,27
101,28
102,28
103,28
104,33
105,34
106,34
107,34
108,31
109,24
110,27
111,28
112,33
113,34
114,39
115,40
116,37
117,34
118,42
119,43
120,46
121,43
122,41
123,44
124,47
125,55
126,54
127,54
128,64
129,63
130,63
131,58
132,55
133,56
134,56
135,61
136,60
137,63
138,73
139,74
140,74
141,65
142,64
143,60
144,65
145,59
146,61
147,63
148,65
149,62
150,63
151,61
152,56
153,57
154,54
155,53
156,57
157,60
158,55
159,56
160,53
161,53
162,49
163,46
164,43
165,37
166,34
167,37
168,35
169,33
170,31
171,29
172,30
173,36
174,36
175,41
176,42
177,44
178,44
179,47
180,50
181,54
182,56
183,59
184,57
185,53
186,56
187,58
188,59
189,62
190,65
191,64
192,67
193,74
194,76
195,79
196,74
197,88
198,93
199,107
200,112
201,127
202,138
203,146
204,149
205,145
206,162
207,167
208,165
209,166
210,169
211,180
212,210
213,239
214,250
215,257
216,271
217,272
218,270
219,280
220,276
221,284
222,288
223,295
224,293
225,288
226,303
227,313
228,344
229,383
230,408
231,408
232,410
233,409
234,412
235,404
236,395
237,397
238,400
239,411
240,403
241,392
242,400
243,405
244,408
245,408
