Day,Daily_ICU_occupancy_France,
1,1,6
2,1,6
3,1,6
4,1,6
5,1,6
6,1,11
7,1,11
8,1,11
9,1,11
10,1,11
11,2,11
12,9,8
13,9,7
14,15,4
15,23,11
16,39,1
17,45,1
18,66,2
19,86,4
20,105,24
21,129,0
22,300,86
23,699,116
24,771,0
25,1002,0
26,1297,0
27,1453,0
28,1674,0
29,2080,0
30,2503,0
31,2935,0
32,3351,0
33,3758,0
34,4236,0
35,4592,400
36,5056,0
37,5496,2579
38,5940,2972
39,6305,4073
40,6556,5226
41,6723,5900
42,6859,6954
43,6948,8673
44,7004,10163
45,7019,12072
46,6937,13879
47,6875,15701
48,6752,17580
49,6714,19311
50,6690,20946
51,6599,22672
52,6331,24543
53,6139,26131
54,5922,27302
55,5733,28003
56,5644,28747
57,5584,29569
58,5334,29871
59,5127,30217
60,4967,30608
61,4785,31108
62,4641,31159
63,4598,31665
64,4526,31952
65,4392,32131
66,4128,31623
67,3947,31172
68,3819,31061
69,3770,30515
70,3762,30486
71,3639,30462
72,3375,29984
73,3095,29627
74,2911,29113
75,2820,28554
76,2764,28119
77,2728,28114
78,2666,27954
79,2496,27607
80,2385,26736
81,2256,26192
82,2162,25809
83,2091,25751
84,2047,25739
85,1958,25472
86,1854,24701
87,1754,23912
88,1708,23139
89,1664,22657
90,1628,22547
91,1618,22502
92,1572,22219
93,1519,21530
94,1467,21009
95,1395,20401
96,1328,19801
97,1293,19372
98,1287,19302
99,1270,18956
100,1221,18409
101,1179,17882
102,1133,17527
103,1065,17327
104,1030,17122
105,1024,17129
106,995,16742
107,926,16209
108,904,15627
109,875,15155
110,851,14643
111,843,14329
112,841,14271
113,818,14237
114,792,13978
115,744,13465
116,724,13054
117,699,12650
118,687,12433
119,687,12415
120,673,12269
121,654,11915
122,630,11632
123,623,11420
124,606,11079
125,594,10864
126,594,10836
127,591,10707
128,574,10490
129,554,10222
130,545,10080
131,533,9925
132,517,9792
133,521,9778
134,521,9648
135,511,9446
136,503,9254
137,486,9096
138,471,8841
139,470,8715
140,473,8727
141,467,8643
142,465,8491
143,457,8291
144,456,8103
145,452,7946
146,450,7863
147,448,7863
148,442,7806
149,430,7550
150,420,7254
151,411,7134
152,385,7020
153,368,6995
154,367,6991
155,374,6941
156,361,6907
157,356,6873
158,357,6754
159,347,6646
160,344,6614
161,345,6583
162,360,6547
163,364,6440
164,360,6324
165,366,5915
166,359,5678
167,366,5634
168,368,5640
169,372,5614
170,367,5510
171,355,5409
172,351,5334
173,344,5257
174,353,5177
175,353,5188
176,361,5157
177,357,5121
178,362,5107
179,368,5019
180,367,4970
181,368,4981
182,371,4992
183,387,5004
184,401,4971
185,373,4850
186,375,4824
187,381,4788
188,394,4817
189,396,4820
190,403,4885
191,418,4783
192,440,4781
193,458,4723
194,467,4720
195,476,4685
196,480,4683
197,531,4664
198,568,4578
199,593,4535
200,608,4517
201,628,4517
202,655,4512
203,662,4517
204,705,4564
205,752,4586
206,796,4614
207,793,4625
208,820,4653
209,827,4667
210,834,4697
211,912,4889
212,944,4942
213,995,4985
214,1041,5077
215,1092,5136
216,1105,5176
217,1112,5228
218,1158,5479
219,1198,5660
220,1232,5800
221,1259,5825
222,1270,5800
223,1289,5493
224,1335,5356
225,1409,5597
226,1417,5777
227,1406,5913
228,1418,6012
229,1439,6110
230,1456,6154
231,1483,6235
232,1539,6397
233,1633,6482
234,1664,6572
235,1741,6634
236,1791,6740
237,1868,6740
238,1939,6964
239,2090,7276
240,2168,7377
241,2239,7514
242,2310,7603
243,2432,7843
244,2491,7976
245,2575,8231
