Day,Daily_ICU_occupancy_UK,patients_hospitalized_UK
1,1813,7043
2,2120,8019
3,2309,9237
4,2469,10732
5,2644,12205
6,2864,13108
7,2967,13256
8,2963,14730
9,3228,16589
10,3274,17781
11,3301,18259
12,3277,18960
13,3234,19339
14,3228,19497
15,3222,19619
16,3162,19495
17,3247,19851
18,3176,19372
19,3130,19234
20,3036,18531
21,2964,18259
22,2867,17304
23,2703,17443
24,2702,17456
25,2580,17335
26,2454,17076
27,2347,16500
28,2286,15934
29,2224,15317
30,2178,14779
31,2068,14674
32,2009,14772
33,1936,14092
34,1874,13833
35,1802,13458
36,1685,13034
37,1641,12747
38,1585,12591
39,1538,12477
40,1485,12146
41,1414,11664
42,1342,11147
43,1314,10678
44,1302,10688
45,1234,10418
46,1196,10645
47,1141,10329
48,1106,10077
49,1034,9692
50,1008,9489
51,964,9097
52,926,9116
53,886,9091
54,863,8905
55,847,8505
56,783,8257
57,751,8220
58,719,7856
59,704,7859
60,679,7885
61,652,7790
62,636,7467
63,602,7206
64,571,6904
65,554,6613
66,540,6580
67,515,6632
68,509,6448
69,491,6254
70,439,5996
71,390,5841
72,393,5631
73,390,5429
74,393,5408
75,385,5227
76,378,4969
77,357,4728
78,352,4659
79,330,4518
80,315,4517
81,310,4487
82,340,4488
83,311,4348
84,316,4219
85,276,4082
86,268,3930
87,270,3902
88,270,3965
89,262,3846
90,279,3737
91,259,3590
92,239,3368
93,231,3291
94,220,3315
95,217,3496
96,209,3151
97,197,2970
98,185,2849
99,188,2725
100,191,2593
101,168,2554
102,159,2501
103,162,2399
104,145,2260
105,153,2181
106,142,2095
107,143,1947
108,137,1955
109,131,1964
110,129,1868
111,137,1838
112,110,1697
113,111,1681
114,104,1656
115,93,1621
116,92,1608
117,97,1517
118,93,1643
119,87,1451
120,84,1354
121,86,1265
122,92,1294
123,81,1280
124,77,1284
125,76,1264
126,73,1243
127,69,1194
128,67,1211
129,62,1167
130,65,1167
131,70,1137
132,73,1113
133,80,1081
134,75,1013
135,73,934
136,76,909
137,78,1012
138,73,965
139,73,937
140,70,945
141,76,933
142,72,912
143,71,917
144,72,920
145,68,893
146,68,869
147,64,867
148,71,833
149,60,887
150,66,814
151,68,820
152,71,795
153,82,778
154,81,789
155,76,771
156,69,798
157,65,800
158,69,823
159,77,830
160,80,770
161,80,784
162,78,791
163,77,786
164,86,792
165,92,877
166,105,871
167,115,897
168,124,917
169,127,740
170,138,774
171,144,804
172,165,943
173,181,1033
174,211,1062
175,228,1122
176,243,1178
177,262,1254
178,261,1352
179,276,1507
180,297,1581
181,314,1660
182,332,1765
183,341,1932
184,368,1949
185,369,2099
186,369,2310
187,393,2328
188,410,2434
189,442,2496
190,436,2608
191,440,2750
192,470,2929
193,477,3236
194,507,3500
195,516,3749
196,563,3924
197,581,3999
198,592,4191
199,613,4494
200,629,4774
201,657,5062
202,697,5410
203,711,5707
204,707,6052
205,743,6293
206,787,6563
207,827,7047
208,852,7564
209,902,7834
210,957,7990
211,974,8506
212,978,8849
213,1002,9337
214,977,9646
215,1075,10447
216,1142,10834
217,1191,11068
218,1181,11249
219,1185,11668
220,1205,11600
221,1230,12449
222,1269,13076
223,1219,13119
224,1268,13056
225,1275,13219
226,1355,13330
227,1365,13725
228,1397,14300
229,1391,14133
230,1420,14815
231,1430,14992
232,1426,15322
233,1421,15373
234,1447,15916
235,1454,16340
236,1460,16460
237,1455,16485
238,1466,16422
239,1470,16152
240,1455,15981
241,1469,16158
242,1463,16158
243,1460,16160
244,1458,16165
245,1454,16170
