Daily_ICU_occupancy,Covid_patients_hospitalized,,,Date
1299,325,,,26-03-2020
1792,416,,,27-03-2020
2174,617,,,28-03-2020
2456,1042,,,29-03-2020
3087,1492,,,30-03-2020
3487,2173,,,31-03-2020
3937,2812,,,01-04-2020
4513,3938,,,02-04-2020
4928,5140,,,03-04-2020
5500,7805,,,04-04-2020
5811,10978,,,05-04-2020
7079,12409,,,06-04-2020
9978,14055,,,07-04-2020
10337,15917,,,08-04-2020
12450,18155,,,09-04-2020
12693,20906,,,10-04-2020
13285,22997,,,11-04-2020
13620,25777,,,12-04-2020
13620,30268,,,13-04-2020
14039,32180,,,14-04-2020
14646,36159,,,15-04-2020
15130,43849,,,16-04-2020
14890,45515,,,17-04-2020
14769,51313,,,18-04-2020
14385,53167,,,19-04-2020
14463,55557,,,20-04-2020
14941,55449,,,21-04-2020
15013,56237,,,22-04-2020
14744,59600,,,23-04-2020
14605,59924,,,24-04-2020
14415,59498,,,25-04-2020
14104,58886,,,26-04-2020
13812,57788,,,27-04-2020
13562,56497,,,28-04-2020
13535,56734,,,29-04-2020
13255,59773,,,30-04-2020
12845,59212,,,01-05-2020
12905,59216,,,02-05-2020
12720,57324,,,03-05-2020
12696,57343,,,04-05-2020
12628,56149,,,05-05-2020
12478,56183,,,06-05-2020
12136,56034,,,07-05-2020
11780,55987,,,08-05-2020
11496,54921,,,09-05-2020
11393,54862,,,10-05-2020
11148,54009,,,11-05-2020
11240,52619,,,12-05-2020
10990,52377,,,13-05-2020
10655,53176,,,14-05-2020
10484,52581,,,15-05-2020
10278,51425,,,16-05-2020
9934,49758,,,17-05-2020
9754,48561,,,18-05-2020
9598,46760,,,19-05-2020
9521,46550,,,20-05-2020
9090,47344,,,21-05-2020
9049,46740,,,22-05-2020
8733,45644,,,23-05-2020
8485,44299,,,24-05-2020
8467,43175,,,25-05-2020
8585,41609,,,26-05-2020
8547,41531,,,27-05-2020
8389,41652,,,28-05-2020
8174,41535,,,29-05-2020
7956,41071,,,30-05-2020
7626,39774,,,31-05-2020
7591,38360,,,01-06-2020
7407,37510,,,02-06-2020
7227,37382,,,03-06-2020
7057,37533,,,04-06-2020
6920,38017,,,05-06-2020
6762,37804,,,06-06-2020
6501,36718,,,07-06-2020
6402,35513,,,08-06-2020
6457,34641,,,09-06-2020
6249,34064,,,10-06-2020
6074,33709,,,11-06-2020
6017,33026,,,12-06-2020
5883,32602,,,13-06-2020
5749,32265,,,14-06-2020
5703,31762,,,15-06-2020
5570,31249,,,16-06-2020
5612,30984,,,17-06-2020
5464,31020,,,18-06-2020
5341,30840,,,19-06-2020
5229,29686,,,20-06-2020
5195,29149,,,21-06-2020
5323,28431,,,22-06-2020
5402,27899,,,23-06-2020
5293,27866,,,24-06-2020
5320,28279,,,25-06-2020
5283,28561,,,26-06-2020
5314,28411,,,27-06-2020
5252,28586,,,28-06-2020
5380,27970,,,29-06-2020
5424,28221,,,30-06-2020
5512,28797,,,01-07-2020
5626,30226,,,02-07-2020
5597,31119,,,03-07-2020
5633,31828,,,04-07-2020
5653,31710,,,05-07-2020
5687,32485,,,06-07-2020
5832,32479,,,07-07-2020
5874,33627,,,08-07-2020
5845,35222,,,09-07-2020
5896,36430,,,10-07-2020
5939,37508,,,11-07-2020
5930,37801,,,12-07-2020
6074,38150,,,13-07-2020
6235,38765,,,14-07-2020
6317,39820,,,15-07-2020
6359,41772,,,16-07-2020
6452,43097,,,17-07-2020
6397,43916,,,18-07-2020
6384,51606,,,19-07-2020
6557,51861,,,20-07-2020
6711,52739,,,21-07-2020
10457,54044,,,22-07-2020
10414,55554,,,23-07-2020
10395,56168,,,24-07-2020
10380,57459,,,25-07-2020
10353,57737,,,26-07-2020
10328,57646,,,27-07-2020
10463,57882,,,28-07-2020
10539,58352,,,29-07-2020
10523,59351,,,30-07-2020
10472,59598,,,31-07-2020
10450,59712,,,01-08-2020
10415,59677,,,02-08-2020
10230,59269,,,03-08-2020
10207,58644,,,04-08-2020
9986,58906,,,05-08-2020
9994,57086,,,06-08-2020
9691,57325,,,07-08-2020
9662,56434,,,08-08-2020
9307,55589,,,09-08-2020
9216,54437,,,10-08-2020
9136,53983,,,11-08-2020
9555,53413,,,12-08-2020
9487,53323,,,13-08-2020
9277,53343,,,14-08-2020
9087,53129,,,15-08-2020
8958,51201,,,16-08-2020
8871,49935,,,17-08-2020
8866,48866,,,18-08-2020
8744,48631,,,19-08-2020
8483,48511,,,20-08-2020
8357,47949,,,21-08-2020
8207,47204,,,22-08-2020
7949,45744,,,23-08-2020
7851,44783,,,24-08-2020
7863,44046,,,25-08-2020
7737,43500,,,26-08-2020
7717,43767,,,27-08-2020
7558,43289,,,28-08-2020
7413,41968,,,29-08-2020
7268,40940,,,30-08-2020
7043,39919,,,31-08-2020
7090,38980,,,01-09-2020
7087,38695,,,02-09-2020
6921,38775,,,03-09-2020
6924,38418,,,04-09-2020
6766,37421,,,05-09-2020
6700,37255,,,06-09-2020
6630,36437,,,07-09-2020
6542,35726,,,08-09-2020
6646,35352,,,09-09-2020
6531,35273,,,10-09-2020
6379,35579,,,11-09-2020
6451,34650,,,12-09-2020
6233,34101,,,13-09-2020
6238,33502,,,14-09-2020
6310,32376,,,15-09-2020
6308,32009,,,16-09-2020
6278,32246,,,17-09-2020
6175,32579,,,18-09-2020
6070,32438,,,19-09-2020
6015,31406,,,20-09-2020
6071,30643,,,21-09-2020
6111,29804,,,22-09-2020
6113,29907,,,23-09-2020
6168,30361,,,24-09-2020
6133,30253,,,25-09-2020
6057,29875,,,26-09-2020
6080,29521,,,27-09-2020
5981,29038,,,28-09-2020
6106,28606,,,29-09-2020
6145,28762,,,30-09-2020
6173,29448,,,01-10-2020
6106,29937,,,02-10-2020
5996,30036,,,03-10-2020
5974,29768,,,04-10-2020
6209,29551,,,05-10-2020
6438,29443,,,06-10-2020
6507,29601,,,07-10-2020
6621,30499,,,08-10-2020
6713,30912,,,09-10-2020
6683,30809,,,10-10-2020
6679,30769,,,11-10-2020
6807,30111,,,12-10-2020
7020,29945,,,13-10-2020
7156,31327,,,14-10-2020
7220,32626,,,15-10-2020
7251,33482,,,16-10-2020
7384,34319,,,17-10-2020
7292,34877,,,18-10-2020
7997,34600,,,19-10-2020
8131,34498,,,20-10-2020
8182,35066,,,21-10-2020
8086,36064,,,22-10-2020
8237,37088,,,23-10-2020
8561,37328,,,24-10-2020
8489,37368,,,25-10-2020
8842,37358,,,26-10-2020
8909,36452,,,27-10-2020
9034,37858,,,28-10-2020
9208,39303,,,29-10-2020
9437,40284,,,30-10-2020
9499,41036,,,31-10-2020
9553,41501,,,01-11-2020
9867,41989,,,02-11-2020
10406,41786,,,03-11-2020
10761,42924,,,04-11-2020
10918,44287,,,05-11-2020
11085,45124,,,06-11-2020
11082,46126,,,07-11-2020
11120,46738,,,08-11-2020
11533,47402,,,09-11-2020
11961,47531,,,10-11-2020
12518,48693,,,11-11-2020
12796,50426,,,12-11-2020
13132,52086,,,13-11-2020
13337,53375,,,14-11-2020
13693,54851,,,15-11-2020
14317,55925,,,16-11-2020
14851,56842,,,17-11-2020
15350,59301,,,18-11-2020
15572,62059,,,19-11-2020
15929,65463,,,20-11-2020
16058,67100,,,21-11-2020
16212,68496,,,22-11-2020
16915,69498,,,23-11-2020
17127,70113,,,24-11-2020
17526,73268,,,25-11-2020
,76958,,,
,79410,,,
,80585,,,
,82150,,,
,83232,,,
,83779,,,
,85870,,,
,88080,,,
,89959,,,
