Entity,Code,Date,Daily_ICU_occupancy
United States,USA,26-03-2020,1299
United States,USA,27-03-2020,1792
United States,USA,28-03-2020,2174
United States,USA,29-03-2020,2456
United States,USA,30-03-2020,3087
United States,USA,31-03-2020,3487
United States,USA,01-04-2020,3937
United States,USA,02-04-2020,4513
United States,USA,03-04-2020,4928
United States,USA,04-04-2020,5500
United States,USA,05-04-2020,5811
United States,USA,06-04-2020,7079
United States,USA,07-04-2020,9978
United States,USA,08-04-2020,10337
United States,USA,09-04-2020,12450
United States,USA,10-04-2020,12693
United States,USA,11-04-2020,13285
United States,USA,12-04-2020,13620
United States,USA,13-04-2020,13620
United States,USA,14-04-2020,14039
United States,USA,15-04-2020,14646
United States,USA,16-04-2020,15130
United States,USA,17-04-2020,14890
United States,USA,18-04-2020,14769
United States,USA,19-04-2020,14385
United States,USA,20-04-2020,14463
United States,USA,21-04-2020,14941
United States,USA,22-04-2020,15013
United States,USA,23-04-2020,14744
United States,USA,24-04-2020,14605
United States,USA,25-04-2020,14415
United States,USA,26-04-2020,14104
United States,USA,27-04-2020,13812
United States,USA,28-04-2020,13562
United States,USA,29-04-2020,13535
United States,USA,30-04-2020,13255
United States,USA,01-05-2020,12845
United States,USA,02-05-2020,12905
United States,USA,03-05-2020,12720
United States,USA,04-05-2020,12696
United States,USA,05-05-2020,12628
United States,USA,06-05-2020,12478
United States,USA,07-05-2020,12136
United States,USA,08-05-2020,11780
United States,USA,09-05-2020,11496
United States,USA,10-05-2020,11393
United States,USA,11-05-2020,11148
United States,USA,12-05-2020,11240
United States,USA,13-05-2020,10990
United States,USA,14-05-2020,10655
United States,USA,15-05-2020,10484
United States,USA,16-05-2020,10278
United States,USA,17-05-2020,9934
United States,USA,18-05-2020,9754
United States,USA,19-05-2020,9598
United States,USA,20-05-2020,9521
United States,USA,21-05-2020,9090
United States,USA,22-05-2020,9049
United States,USA,23-05-2020,8733
United States,USA,24-05-2020,8485
United States,USA,25-05-2020,8467
United States,USA,26-05-2020,8585
United States,USA,27-05-2020,8547
United States,USA,28-05-2020,8389
United States,USA,29-05-2020,8174
United States,USA,30-05-2020,7956
United States,USA,31-05-2020,7626
United States,USA,01-06-2020,7591
United States,USA,02-06-2020,7407
United States,USA,03-06-2020,7227
United States,USA,04-06-2020,7057
United States,USA,05-06-2020,6920
United States,USA,06-06-2020,6762
United States,USA,07-06-2020,6501
United States,USA,08-06-2020,6402
United States,USA,09-06-2020,6457
United States,USA,10-06-2020,6249
United States,USA,11-06-2020,6074
United States,USA,12-06-2020,6017
United States,USA,13-06-2020,5883
United States,USA,14-06-2020,5749
United States,USA,15-06-2020,5703
United States,USA,16-06-2020,5570
United States,USA,17-06-2020,5612
United States,USA,18-06-2020,5464
United States,USA,19-06-2020,5341
United States,USA,20-06-2020,5229
United States,USA,21-06-2020,5195
United States,USA,22-06-2020,5323
United States,USA,23-06-2020,5402
United States,USA,24-06-2020,5293
United States,USA,25-06-2020,5320
United States,USA,26-06-2020,5283
United States,USA,27-06-2020,5314
United States,USA,28-06-2020,5252
United States,USA,29-06-2020,5380
United States,USA,30-06-2020,5424
United States,USA,01-07-2020,5512
United States,USA,02-07-2020,5626
United States,USA,03-07-2020,5597
United States,USA,04-07-2020,5633
United States,USA,05-07-2020,5653
United States,USA,06-07-2020,5687
United States,USA,07-07-2020,5832
United States,USA,08-07-2020,5874
United States,USA,09-07-2020,5845
United States,USA,10-07-2020,5896
United States,USA,11-07-2020,5939
United States,USA,12-07-2020,5930
United States,USA,13-07-2020,6074
United States,USA,14-07-2020,6235
United States,USA,15-07-2020,6317
United States,USA,16-07-2020,6359
United States,USA,17-07-2020,6452
United States,USA,18-07-2020,6397
United States,USA,19-07-2020,6384
United States,USA,20-07-2020,6557
United States,USA,21-07-2020,6711
United States,USA,22-07-2020,10457
United States,USA,23-07-2020,10414
United States,USA,24-07-2020,10395
United States,USA,25-07-2020,10380
United States,USA,26-07-2020,10353
United States,USA,27-07-2020,10328
United States,USA,28-07-2020,10463
United States,USA,29-07-2020,10539
United States,USA,30-07-2020,10523
United States,USA,31-07-2020,10472
United States,USA,01-08-2020,10450
United States,USA,02-08-2020,10415
United States,USA,03-08-2020,10230
United States,USA,04-08-2020,10207
United States,USA,05-08-2020,9986
United States,USA,06-08-2020,9994
United States,USA,07-08-2020,9691
United States,USA,08-08-2020,9662
United States,USA,09-08-2020,9307
United States,USA,10-08-2020,9216
United States,USA,11-08-2020,9136
United States,USA,12-08-2020,9555
United States,USA,13-08-2020,9487
United States,USA,14-08-2020,9277
United States,USA,15-08-2020,9087
United States,USA,16-08-2020,8958
United States,USA,17-08-2020,8871
United States,USA,18-08-2020,8866
United States,USA,19-08-2020,8744
United States,USA,20-08-2020,8483
United States,USA,21-08-2020,8357
United States,USA,22-08-2020,8207
United States,USA,23-08-2020,7949
United States,USA,24-08-2020,7851
United States,USA,25-08-2020,7863
United States,USA,26-08-2020,7737
United States,USA,27-08-2020,7717
United States,USA,28-08-2020,7558
United States,USA,29-08-2020,7413
United States,USA,30-08-2020,7268
United States,USA,31-08-2020,7043
United States,USA,01-09-2020,7090
United States,USA,02-09-2020,7087
United States,USA,03-09-2020,6921
United States,USA,04-09-2020,6924
United States,USA,05-09-2020,6766
United States,USA,06-09-2020,6700
United States,USA,07-09-2020,6630
United States,USA,08-09-2020,6542
United States,USA,09-09-2020,6646
United States,USA,10-09-2020,6531
United States,USA,11-09-2020,6379
United States,USA,12-09-2020,6451
United States,USA,13-09-2020,6233
United States,USA,14-09-2020,6238
United States,USA,15-09-2020,6310
United States,USA,16-09-2020,6308
United States,USA,17-09-2020,6278
United States,USA,18-09-2020,6175
United States,USA,19-09-2020,6070
United States,USA,20-09-2020,6015
United States,USA,21-09-2020,6071
United States,USA,22-09-2020,6111
United States,USA,23-09-2020,6113
United States,USA,24-09-2020,6168
United States,USA,25-09-2020,6133
United States,USA,26-09-2020,6057
United States,USA,27-09-2020,6080
United States,USA,28-09-2020,5981
United States,USA,29-09-2020,6106
United States,USA,30-09-2020,6145
United States,USA,01-10-2020,6173
United States,USA,02-10-2020,6106
United States,USA,03-10-2020,5996
United States,USA,04-10-2020,5974
United States,USA,05-10-2020,6209
United States,USA,06-10-2020,6438
United States,USA,07-10-2020,6507
United States,USA,08-10-2020,6621
United States,USA,09-10-2020,6713
United States,USA,10-10-2020,6683
United States,USA,11-10-2020,6679
United States,USA,12-10-2020,6807
United States,USA,13-10-2020,7020
United States,USA,14-10-2020,7156
United States,USA,15-10-2020,7220
United States,USA,16-10-2020,7251
United States,USA,17-10-2020,7384
United States,USA,18-10-2020,7292
United States,USA,19-10-2020,7997
United States,USA,20-10-2020,8131
United States,USA,21-10-2020,8182
United States,USA,22-10-2020,8086
United States,USA,23-10-2020,8237
United States,USA,24-10-2020,8561
United States,USA,25-10-2020,8489
United States,USA,26-10-2020,8842
United States,USA,27-10-2020,8909
United States,USA,28-10-2020,9034
United States,USA,29-10-2020,9208
United States,USA,30-10-2020,9437
United States,USA,31-10-2020,9499
United States,USA,01-11-2020,9553
United States,USA,02-11-2020,9867
United States,USA,03-11-2020,10406
United States,USA,04-11-2020,10761
United States,USA,05-11-2020,10918
United States,USA,06-11-2020,11085
United States,USA,07-11-2020,11082
United States,USA,08-11-2020,11120
United States,USA,09-11-2020,11533
United States,USA,10-11-2020,11961
United States,USA,11-11-2020,12518
United States,USA,12-11-2020,12796
United States,USA,13-11-2020,13132
United States,USA,14-11-2020,13337
United States,USA,15-11-2020,13693
United States,USA,16-11-2020,14317
United States,USA,17-11-2020,14851
United States,USA,18-11-2020,15350
United States,USA,19-11-2020,15572
United States,USA,20-11-2020,15929
United States,USA,21-11-2020,16058
United States,USA,22-11-2020,16212
United States,USA,23-11-2020,16915
United States,USA,24-11-2020,17127
United States,USA,25-11-2020,17526
